file	date	species	sample	Name	video	hours	temperature	FPS	total_frames	magnification
20190717_00001	17.07.2019	Didinium	3	Didinium 3	1	4	15	25	750	12.5
20190717_00002	17.07.2019	Didinium	3	Didinium 3	2	4	15	25	750	12.5
20190717_00003	17.07.2019	Didinium	3	Didinium 3	3	4	15	25	750	12.5
20190717_00004	17.07.2019	Both	1	Both 1	1	4	15	25	750	12.5
20190717_00005	17.07.2019	Both	1	Both 1	2	4	15	25	750	12.5
20190717_00006	17.07.2019	Both	1	Both 1	3	4	15	25	750	12.5
20190717_00007	17.07.2019	Both	4	Both 4	1	4	15	25	750	12.5
20190717_00008	17.07.2019	Both	4	Both 4	2	4	15	25	750	12.5
20190717_00009	17.07.2019	Both	4	Both 4	3	4	15	25	750	12.5
20190717_00010	17.07.2019	Didinium	4	Didinium 4	1	4	15	25	750	12.5
20190717_00011	17.07.2019	Didinium	4	Didinium 4	2	4	15	25	750	12.5
20190717_00012	17.07.2019	Didinium	4	Didinium 4	3	4	15	25	750	12.5
20190717_00013	17.07.2019	Paramecium	1	Paramecium 1	1	4	15	25	750	12.5
20190717_00014	17.07.2019	Paramecium	1	Paramecium 1	2	4	15	25	750	12.5
20190717_00015	17.07.2019	Paramecium	1	Paramecium 1	3	4	15	25	750	12.5
20190717_00016	17.07.2019	Didinium	2	Didinium 2	1	4	15	25	750	12.5
20190717_00017	17.07.2019	Didinium	2	Didinium 2	2	4	15	25	750	12.5
20190717_00018	17.07.2019	Didinium	2	Didinium 2	3	4	15	25	750	12.5
20190717_00019	17.07.2019	Paramecium	3	Paramecium 3	1	4	15	25	750	12.5
20190717_00020	17.07.2019	Paramecium	3	Paramecium 3	2	4	15	25	750	12.5
20190717_00021	17.07.2019	Paramecium	3	Paramecium 3	3	4	15	25	750	12.5
20190717_00022	17.07.2019	Both	3	Both 3	1	4	15	25	750	12.5
20190717_00023	17.07.2019	Both	3	Both 3	2	4	15	25	750	12.5
20190717_00024	17.07.2019	Both	3	Both 3	3	4	15	25	750	12.5
20190717_00025	17.07.2019	Both	2	Both 2	1	4	15	25	750	12.5
20190717_00026	17.07.2019	Both	2	Both 2	2	4	15	25	750	12.5
20190717_00027	17.07.2019	Both	2	Both 2	3	4	15	25	750	12.5
20190717_00028	17.07.2019	Paramecium	2	Paramecium 2	1	4	15	25	750	12.5
20190717_00029	17.07.2019	Paramecium	2	Paramecium 2	2	4	15	25	750	12.5
20190717_00030	17.07.2019	Paramecium	2	Paramecium 2	3	4	15	25	750	12.5
20190717_00031	17.07.2019	Paramecium	4	Paramecium 4	1	4	15	25	750	12.5
20190717_00032	17.07.2019	Paramecium	4	Paramecium 4	2	4	15	25	750	12.5
20190717_00033	17.07.2019	Paramecium	4	Paramecium 4	3	4	15	25	750	12.5
20190717_00034	17.07.2019	Didinium	1	Didinium 1	1	4	15	25	750	12.5
20190717_00035	17.07.2019	Didinium	1	Didinium 1	2	4	15	25	750	12.5
20190717_00036	17.07.2019	Didinium	1	Didinium 1	3	4	15	25	750	12.5
